start:START_ID	end:END_ID	type:TYPE	var	taint_src	taint_dst
0	1	FILE_OF			
1	2	ENTRY			
1	3	EXIT			
1	4	PARENT_OF			
4	5	PARENT_OF			
5	6	PARENT_OF			
5	8	PARENT_OF			
5	18	FLOWS_TO			
5	1836	LOOKUP			
5	1836	LOOKUP			
5	1865	LOOKUP			
5	1869	LOOKUP			
6	7	PARENT_OF			
8	9	PARENT_OF			
8	11	PARENT_OF			
9	10	PARENT_OF			
11	12	PARENT_OF			
13	14	FILE_OF			
14	15	ENTRY			
14	16	EXIT			
14	17	PARENT_OF			
17	18	PARENT_OF			
17	22	PARENT_OF			
17	26	PARENT_OF			
17	30	PARENT_OF			
17	34	PARENT_OF			
17	109	PARENT_OF			
17	409	PARENT_OF			
18	19	PARENT_OF			
18	21	PARENT_OF			
18	1836	LOOKUP			
18	1836	LOOKUP			
18	22	FLOWS_TO			
19	20	PARENT_OF			
22	23	PARENT_OF			
22	25	PARENT_OF			
22	1836	LOOKUP			
22	1836	LOOKUP			
22	26	FLOWS_TO			
23	24	PARENT_OF			
26	27	PARENT_OF			
26	29	PARENT_OF			
26	1836	LOOKUP			
26	1836	LOOKUP			
26	30	FLOWS_TO			
27	28	PARENT_OF			
30	31	PARENT_OF			
30	33	PARENT_OF			
30	1836	LOOKUP			
30	1836	LOOKUP			
30	34	FLOWS_TO			
31	32	PARENT_OF			
34	35	PARENT_OF			
34	37	PARENT_OF			
34	1836	LOOKUP			
34	1836	LOOKUP			
34	109	FLOWS_TO			
35	36	PARENT_OF			
37	38	ENTRY			
37	39	EXIT			
37	40	PARENT_OF			
37	41	PARENT_OF			
37	42	PARENT_OF			
37	51	PARENT_OF			
37	52	PARENT_OF			
37	107	PARENT_OF			
37	108	PARENT_OF			
42	43	PARENT_OF			
42	47	PARENT_OF			
43	44	PARENT_OF			
43	45	PARENT_OF			
43	46	PARENT_OF			
47	48	PARENT_OF			
47	49	PARENT_OF			
47	50	PARENT_OF			
52	53	PARENT_OF			
52	63	PARENT_OF			
52	68	PARENT_OF			
52	104	PARENT_OF			
53	54	PARENT_OF			
53	56	PARENT_OF			
54	55	PARENT_OF			
56	57	PARENT_OF			
56	59	PARENT_OF			
56	60	PARENT_OF			
57	58	PARENT_OF			
60	61	PARENT_OF			
61	62	PARENT_OF			
63	64	PARENT_OF			
63	66	PARENT_OF			
64	65	PARENT_OF			
66	67	PARENT_OF			
68	69	PARENT_OF			
